# of turns,permittivity(sur),LS/LW,SEP,permittivity(sub),OD,HFSS
4.0,50.0,0.1,0.3,4.4,16.0,0.0531212
4.0,50.0,0.1,0.3,4.4,32.0,0.0238667
4.0,50.0,0.1,0.3,8.0,2.0,1.504
4.0,50.0,0.1,0.3,8.0,4.0,0.4369
4.0,50.0,0.1,0.3,8.0,8.0,0.14545
4.0,50.0,0.1,0.3,8.0,16.0,0.0480364
4.0,50.0,0.1,0.3,8.0,32.0,0.020699
4.0,50.0,0.1,0.6,2.2,2.0,2.4182
4.0,50.0,0.1,0.6,2.2,4.0,0.6515
4.0,50.0,0.1,0.6,2.2,8.0,0.2403545
4.0,50.0,0.1,0.6,2.2,16.0,0.0843434
4.0,50.0,0.1,0.6,2.2,32.0,0.0384242
4.0,50.0,0.1,0.6,4.4,2.0,2.1566
4.0,50.0,0.1,0.6,4.4,4.0,0.5678
4.0,50.0,0.1,0.6,4.4,8.0,0.1885657
4.0,50.0,0.1,0.6,4.4,16.0,0.061102000000000004
4.0,50.0,0.1,0.6,4.4,32.0,0.025697000000000005
4.0,50.0,0.1,0.6,8.0,2.0,1.7573
4.0,50.0,0.1,0.6,8.0,4.0,0.4455
4.0,50.0,0.1,0.6,8.0,8.0,0.16111
4.0,50.0,0.1,0.6,8.0,16.0,0.05415559999999999
4.0,50.0,0.1,0.6,8.0,32.0,0.0191939
4.0,50.0,0.3,0.3,2.2,8.0,0.2678788
4.0,50.0,0.3,0.3,2.2,16.0,0.0870323
4.0,50.0,0.3,0.3,2.2,32.0,0.0359394
4.0,50.0,0.3,0.3,4.4,8.0,0.2464646
4.0,50.0,0.3,0.3,4.4,16.0,0.0774606
4.0,50.0,0.3,0.3,4.4,32.0,0.0251364
4.0,50.0,0.3,0.3,8.0,8.0,0.2
4.0,50.0,0.3,0.3,8.0,16.0,0.060901
4.0,50.0,0.3,0.3,8.0,32.0,0.0218788
4.0,50.0,0.3,0.6,2.2,8.0,0.37333
4.0,50.0,0.3,0.6,2.2,16.0,0.1181838
4.0,50.0,0.3,0.6,2.2,32.0,0.0386667
4.0,50.0,0.3,0.6,4.4,8.0,0.32
4.0,50.0,0.3,0.6,4.4,16.0,0.088606
4.0,50.0,0.3,0.6,4.4,32.0,0.029090899999999996
4.0,50.0,0.3,0.6,8.0,8.0,0.2440404
4.0,50.0,0.3,0.6,8.0,16.0,0.0789212
4.0,50.0,0.3,0.6,8.0,32.0,0.0228232
